================================================================================
ТАБЛИЦА ВСЕХ ОБЪЕКТОВ
================================================================================

file_name                                               | idx | title                               | address                   | price        | area    
Квартиры.html                                           | 52  | Продается 1 комн.кв 37 м²           | Ростовская обл.,Аксайский | NULL         | 63      
Квартиры.html                                           | 53  | 🔥 СРОЧНАЯ ПРОДАЖА! ВЫГОДНОЕ ПРЕДЛОЖ | 1-к квартира 28,8м2       | NULL         | NULL    
Квартиры.html                                           | 54  | Продается 3 комн.кв 72 м²           | Ростовская обл.,г. Ростов | NULL         | 28.8    
Квартиры.html                                           | 55  | Продается 3 комн.кв 80.2 м²         | Ростовская обл.,г. Ростов | NULL         | 72      
Квартиры.html                                           | 56  | Продается 2 комн.кв 588 м² этаж 4/9 | Ростовская обл.,г. Ростов | NULL         | 80.2    
Квартиры.html                                           | 57  | Продается 2 комн.кв 50 м²           | Ростовская обл.,г. Ростов | NULL         | 58      
Квартиры.html                                           | 58  | Продается 1 комн.кв 38.8 м²         | Ростовская обл.,г. Ростов | NULL         | 50      
Квартиры.html                                           | 59  | Продается 1 комн.кв 26 м²           | Ростовская обл.,Аксайский | NULL         | 38.8    
Квартиры.html                                           | 60  | Продается 4 комн.кв 110 м²          | Ростовская обл.,г. Ростов | NULL         | 26      
Квартиры.html                                           | 61  | Продается 3 комн.кв 58 м²           | Ростовская обл.,г. Ростов | NULL         | 110     
Квартиры.html                                           | 62  | Продается 2 комн.кв 48 м²           | Ростовская обл.,г. Ростов | NULL         | 58      
Квартиры.html                                           | 63  | Продается 2 комн.кв 53 м²           | Ростовская обл.,г. Ростов | NULL         | 48      
Квартиры.html                                           | 64  | Продается 1 комн.кв 40.5 м²         | Ростовская обл.,г. Ростов | NULL         | 53      
Квартиры.html                                           | 65  | Продается 1 комн.кв 40 м²           | Ростовская обл.,г. Ростов | NULL         | 40.5    
Квартиры.html                                           | 66  | 1-к квартира 36м"2                  | 5 этаж                    | NULL         | 19      
Квартиры.html                                           | 67  | 2-к квартира 60,8м"2                | 2/3 эт.                   | NULL         | NULL    
Квартиры.html                                           | 68  | 2-к квартира                        | г.Аксай ул. Платова       | NULL         | NULL    
Квартиры.html                                           | 69  | ✨  ШИКАРНАЯ 2-К КВАРТИРА В ЖК «ЛЕВО | ул. Левобережная, д. 6/6, | NULL         | NULL    
Квартиры.html                                           | 70  | ✨  ШИКАРНАЯ 3-К КВАРТИРА В ЖК «ЛЕВО | 3-к. квартира, 93 м², 11/ | NULL         | NULL    
Квартиры.html                                           | 71  | 3-к. квартира, 70 м², 11/22 эт.     | Общая площадь: 70 м²  Пло | NULL         | NULL    
Квартиры.html                                           | 72  | 1-к. квартира, 35 м².               | Общая площадь: 35 м²  Пло | NULL         | NULL    
Квартиры.html                                           | 73  | Продается cтильнaя 2-комнатная квар | Плoщадь: 55,1 м² + 6 м² л | NULL         | NULL    
Квартиры.html                                           | 74  | 1-к. квартира, 34 м², 1/4 эт.       | Общая площадь: 34 м²  Пло | NULL         | NULL    
Квартиры.html                                           | 75  | 🏢 Продается 1-комнатная квартира в  | ул. Гор советская в Росто | NULL         | NULL    
Квартиры.html                                           | 76  |  🔥СРОЧHAЯ ПPОДАЖА! ВЫГОДНOЕ ПPЕДЛОЖ | 2-к. квартира, 47 м², 3/3 | NULL         | NULL    
Квартиры.html                                           | 77  | Продается 1 комн.кв 37 м²           | Аксай.ул Платова          | NULL         | NULL    
Квартиры.html                                           | 78  | Продается 1 комн.кв 32 м² этаж 2/3  | г.Аксай ул Речников       | NULL         | 37      
Квартиры.html                                           | 79  | 🔥УHИКAЛЬНOE ПPЕДЛОЖЕНИЕ! CРOЧНАЯ ПР | 2-к квартира. 75м"2       | NULL         | NULL    
Квартиры.html                                           | 80  | 🔥CРOЧНАЯ ПPОДАЖА! ВЫГОДНOЕ ПPЕДЛОЖЕ | Продается 2 комн.кв 53 м² | NULL         | NULL    
Квартиры.html                                           | 81  | 2-к. квартира, 60 м², 9/9 эт.       | г.Аксай ул Суворова       | NULL         | NULL    
Квартиры.html                                           | 82  | 🔥УHИKAЛЬHOЕ ПРEДЛОЖЕНИЕ! CРOЧНAЯ ПP | 1-к. квартира, 42 м², 1/9 | NULL         | 17.4    
Квартиры.html                                           | 83  | 🔥СPОЧНAЯ ПPОДАЖА! ВЫГОДНOЕ ПPЕДЛOЖЕ | 1-к. квартира, 31 м², 2/3 | NULL         | NULL    
Квартиры.html                                           | 84  | Продается 2 комн.кв 50.4 м² этаж 3/ | г.Аксай ул.Коминтерна     | NULL         | NULL    
Квартиры.html                                           | 85  | Продается 1 комн.кв 35 м² этаж 5/5  | г.Аксай ул.Платова        | NULL         | NULL    
Квартиры.html                                           | 86  | Продается 2 комн.кв 60 м² этаж 3/9  | В продаже чистая, уютная  | NULL         | 35      
Квартиры.html                                           | 87  | 1-ка, S=34 м² 3/9 этаж              | Кирпичный дом, закрытый д | NULL         | 60      
Квартиры.html                                           | 88  | Продается 1 комн.кв 38 м² этаж 3/4  | г.Аксай ул.Речников       | NULL         | 33      
house.html                                              | 89  | 🌟 Отличное предложение в Аксае! 🌟   | Продаётся просторный дом  | NULL         | 95      
house.html                                              | 90  | Дом 190 м² на участке 5,5 сот.      | 🌟 Новый кирпичный дoм 202 | NULL         | 200     
house.html                                              | 91  | Продается дача 94.4 м² 12 соток     | Ростовская обл.,Неклиновс | NULL         | 94.4    
